name,slug,name_scraped,birth_year_scraped,party_scraped,current_scraped,bill_count_scraped
"Representative Fleming, John",john-fleming/F000456,John Fleming,1951,Republican,not current,991
"Representative Fletcher, Ernie",ernest-fletcher/F000441,Ernie Fletcher,1952,Republican,not current,484
"Representative Fletcher, Lizzie",lizzie-fletcher/F000468,Lizzie Fletcher,1975,Democratic,current,296
"Representative Flippo, Ronnie G.",ronnie-flippo/F000208,Ronnie G. Flippo,1937,Democratic,not current,"1,313"
"Representative Flood, Daniel J.",daniel-flood/F000209,Daniel J. Flood,1903,Democratic,not current,792
"Representative Flores, Bill",bill-flores/F000461,Bill Flores,1954,Republican,current,"1,409"
"Representative Florio, James J.",james-florio/F000215,James J. Florio,1937,Democratic,not current,"2,567"
"Representative Flowers, Walter",walter-flowers/F000218,Walter Flowers,1933,Democratic,not current,288
"Representative Flynt, John J., Jr.",john-flynt/F000229,John J. Flynt Jr.,1914,Democratic,not current,225
"Representative Foglietta, Thomas M.",thomas-foglietta/F000235,Thomas M. Foglietta,1928,Democratic,not current,"4,230"
"Representative Foley, Mark",mark-foley/F000238,Mark Foley,1954,Republican,not current,"2,507"
"Representative Foley, Thomas S.",thomas-foley/F000239,Thomas S. Foley,1929,Democratic,not current,"1,410"
"Senator Fong, Hiram L.",hiram-fong/F000245,Hiram L. Fong,1906,Republican,not current,246
"Representative Forbes, J. Randy",j-forbes/F000445,J. Randy Forbes,1952,Republican,not current,"2,077"
"Representative Forbes, Michael P.",michael-forbes/F000257,Michael P. Forbes,1952,History,not current,908
"Representative Ford, Gerald R., Jr.",gerald-ford/F000260,Gerald R. Ford Jr.,1913,Republican,not current,59
"Representative Ford, Harold E.",harold-ford/F000261,Harold E. Ford,1945,Democratic,not current,"3,344"
"Representative Ford, Harold E., Jr.",harold-ford/F000262,Harold E. Ford Jr.,1970,Democratic,not current,"1,696"
"Senator Ford, Wendell H.",wendell-ford/F000268,Wendell H. Ford,1924,Democratic,not current,"3,029"
"Representative Ford, William D.",william-ford/F000270,William D. Ford,1927,Democratic,not current,"2,889"
"Representative Forsythe, Edwin B.",edwin-forsythe/F000286,Edwin B. Forsythe,1916,Republican,not current,"2,438"
"Representative Fortenberry, Jeff",jeff-fortenberry/F000449,Jeff Fortenberry,1960,Republican,current,"1,750"
"Representative Fortuno, Luis G.",luis-fortuno/F000452,Commissioner Luis G. Fortuno,1960,Republican,not current,664
"Representative Fossella, Vito",vito-fossella/F000440,Vito Fossella,1965,Republican,not current,"1,253"
"Representative Foster, Bill",bill-foster/F000454,Bill Foster,1955,Democratic,current,"1,906"
"Representative Fountain, L. H.",lawrence-fountain/F000319,L. H. Fountain,1913,Democratic,not current,483
"Representative Fowler, Tillie",tillie-fowler/F000328,Tillie Fowler,1942,Republican,not current,898
"Senator Fowler, Wyche, Jr.",wyche-fowler/F000329,Wyche Fowler Jr.,1940,Democratic,not current,"1,502"
"Representative Fox, Jon D.",jon-fox/F000332,Jon D. Fox,1947,Republican,not current,797
"Representative Foxx, Virginia",virginia-foxx/F000450,Virginia Foxx,1943,Republican,current,"1,555"
"Senator Frahm, Sheila",sheila-frahm/F000438,Sheila Frahm,1945,Republican,not current,22
"Representative Frank, Barney",barney-frank/F000339,Barney Frank,1940,Democratic,not current,11
"Representative Frankel, Lois",lois-frankel/F000462,Lois Frankel,1948,Democratic,current,"1,312"
"Senator Franken, Al",al-franken/F000457,Al Franken,1951,Democratic,not current,"2,296"
"Representative Franklin, William W.",william-franklin/F000347,William W. Franklin,1941,Republican,not current,366
"Representative Franks, Bob",bob-franks/F000349,Bob Franks,1951,Republican,not current,970
"Representative Franks, Gary A.",gary-franks/F000348,Gary A. Franks,1953,Republican,not current,595
"Representative Franks, Trent",trent-franks/F000448,Trent Franks,1957,Republican,not current,"2,802"
"Representative Fraser, Donald M.",donald-fraser/F000350,Donald M. Fraser,1924,Democratic,not current,"1,396"
"Representative Frazer, Victor O.",victor-frazer/F000351,Victor O. Frazer,1943,Independent,not current,278
"Representative Frelinghuysen, Peter H. B.",peter-frelinghuysen/F000371,Peter H. B. Frelinghuysen,1916,Republican,not current,80
"Representative Frelinghuysen, Rodney P.",rodney-frelinghuysen/F000372,Rodney P. Frelinghuysen,1946,Republican,not current,"1,615"
"Representative Frenzel, Bill",william-frenzel/F000380,Bill Frenzel,1928,Republican,not current,"3,626"
"Representative Frey, Lou, Jr.",louis-frey/F000381,Lou Frey Jr.,1934,Republican,not current,615
"Representative Frisa, Dan",daniel-frisa/F000387,Dan Frisa,1955,Republican,not current,110
"Senator Frist, William H.",william-frist/F000439,William H. Frist,1952,Republican,not current,"1,507"
"Representative Froehlich, Harold V.",harold-froehlich/F000388,Harold V. Froehlich,1932,Republican,not current,214
"Representative Frost, Martin",martin-frost/F000392,Martin Frost,1942,Democratic,not current,"9,171"
"Representative Fudge, Marcia L.",marcia-fudge/F000455,Marcia L. Fudge,1952,Democratic,current,"2,294"
"Senator Fulbright, James",james-fulbright/F000401,James Fulbright,1905,Democratic,not current,121
"Representative Fulcher, Russ",russ-fulcher/F000469,Russ Fulcher,1962,Republican,current,120
"Representative Fulton, Richard",richard-fulton/F000424,Richard Fulton,1927,Democratic,not current,273
"Representative Funderburk, David",david-funderburk/F000426,David Funderburk,1944,Republican,not current,236
"Representative Fuqua, Don",don-fuqua/F000430,Don Fuqua,1933,Democratic,not current,"1,677"
"Representative Furse, Elizabeth",elizabeth-furse/F000434,Elizabeth Furse,1936,Democratic,not current,"1,316"
"Representative Fuster, Jamie B.",jamie-fuster/F000435,Commissioner Jamie B. Fuster,1941,Democratic,not current,"1,950"
"Representative Gabbard, Tulsi",tulsi-gabbard/G000571,Tulsi Gabbard,1981,Democratic,current,"1,394"
"Representative Gaetz, Matt",matt-gaetz/G000578,Matt Gaetz,1982,Republican,current,753
"Representative Gallagher, Mike",mike-gallagher/G000579,Mike Gallagher,1984,Republican,current,582
"Representative Gallegly, Elton",elton-gallegly/G000021,Elton Gallegly,1944,Republican,not current,"3,525"
"Representative Gallego, Pete P.",pete-gallego/G000572,Pete P. Gallego,1961,Democratic,not current,204
"Representative Gallego, Ruben",ruben-gallego/G000574,Ruben Gallego,1979,Democratic,current,"1,496"
"Representative Gallo, Dean A.",dean-gallo/G000025,Dean A. Gallo,1935,Republican,not current,"1,650"
"Representative Gammage, Robert A.",bob-gammage/G000036,Robert A. Gammage,1938,Democratic,not current,68
"Representative Ganske, Greg",greg-ganske/G000041,Greg Ganske,1949,Republican,not current,433
"Representative Garamendi, John",john-garamendi/G000559,John Garamendi,1945,Democratic,current,"2,461"
"Representative Garcia, Jesus G. ""Chuy""",jesus-garcia/G000586,"Jesus G. ""Chuy"" Garcia",1956,Democratic,current,738
"Representative Garcia, Joe",joe-garcia/G000573,Joe Garcia,1963,Democratic,not current,252
"Representative Garcia, Robert",robert-garcia/G000047,Robert Garcia,1933,Democratic,not current,"2,711"
"Representative Garcia, Sylvia R.",sylvia-garcia/G000587,Sylvia R. Garcia,1950,Democratic,current,495
"Senator Gardner, Cory",cory-gardner/G000562,Cory Gardner,1974,Republican,current,"1,731"
"Senator Garn, E. J. (Jake)",edwin-garn/G000072,E. J. (Jake) Garn,1932,Republican,not current,"2,469"
"Representative Garrett, Scott",scott-garrett/G000548,Scott Garrett,1959,Republican,not current,"1,970"
"Representative Garrett, Thomas A., Jr.",thomas-garrett/G000580,"Thomas A. Garrett, Jr.",1972,Republican,not current,251
"Representative Gaydos, Joseph M.",joseph-gaydos/G000105,Joseph M. Gaydos,1926,Democratic,not current,"1,326"
"Representative Gejdenson, Sam",samuel-gejdenson/G000120,Sam Gejdenson,1948,Democratic,not current,"3,897"
"Representative Gekas, George W.",george-gekas/G000121,George W. Gekas,1930,Republican,not current,"2,324"
"Representative Gephardt, Richard A.",richard-gephardt/G000132,Richard A. Gephardt,1941,Democratic,not current,"2,170"
"Representative Geren, Pete",pete-geren/G000134,Pete Geren,1952,Democratic,not current,"1,067"
"Representative Gerlach, Jim",jim-gerlach/G000549,Jim Gerlach,1955,Republican,not current,"1,903"
"Representative Gettys, Tom S.",thomas-gettys/G000144,Tom S. Gettys,1912,Democratic,not current,44
"Representative Giaimo, Robert N.",robert-giaimo/G000151,Robert N. Giaimo,1919,Democratic,not current,305
"Representative Gianforte, Greg",greg-gianforte/G000584,Greg Gianforte,1961,Republican,current,409
"Representative Gibbons, Jim",jim-gibbons/G000152,Jim Gibbons,1944,Republican,not current,"1,230"
"Representative Gibbons, Sam",sam-gibbons/G000153,Sam Gibbons,1920,Democratic,not current,"1,643"
"Representative Gibbs, Bob",bob-gibbs/G000563,Bob Gibbs,1954,Republican,current,"1,166"
"Representative Gibson, Christopher P.",christopher-gibson/G000564,Christopher P. Gibson,1964,Republican,not current,938
"Representative Giffords, Gabrielle",gabrielle-giffords/G000554,Gabrielle Giffords,1970,Democratic,not current,757
"Representative Gilchrest, Wayne T.",wayne-gilchrest/G000180,Wayne T. Gilchrest,1946,Republican,not current,"2,234"
"Senator Gillibrand, Kirsten E.",kirsten-gillibrand/G000555,Kirsten E. Gillibrand,1966,Democratic,current,"4,291"
"Representative Gillmor, Paul E.",paul-gillmor/G000210,Paul E. Gillmor,1939,Republican,not current,"2,133"
"Representative Gilman, Benjamin A.",benjamin-gilman/G000212,Benjamin A. Gilman,1922,Republican,not current,"6,416"
"Representative Gingrey, Phil",phil-gingrey/G000550,Phil Gingrey,1942,Republican,not current,"1,891"
"Representative Gingrich, Newt",newt-gingrich/G000225,Newt Gingrich,1943,Republican,not current,"3,244"
"Representative Ginn, Bo",bo-ginn/G000226,Bo Ginn,1934,Democratic,not current,749
"Senator Glenn, John H., Jr.",john-glenn/G000236,John H. Glenn Jr.,1921,Democratic,not current,"3,141"
"Representative Glickman, Dan",dan-glickman/G000240,Dan Glickman,1944,Democratic,not current,"2,346"
"Representative Gohmert, Louie",louie-gohmert/G000552,Louie Gohmert,1953,Republican,current,"2,113"
"Representative Golden, Jared F.",jared-golden/G000592,Jared F. Golden,1982,Democratic,current,303
"Senator Goldwater, Barry",barry-goldwater/G000267,Barry Goldwater,1909,Republican,not current,"1,497"
"Representative Goldwater, Barry, Jr.",barry-goldwater/G000268,Barry Goldwater Jr.,1938,Republican,not current,"1,053"
"Representative Gomez, Jimmy",jimmy-gomez/G000585,Jimmy Gomez,1974,Democratic,current,634
"Representative Gonzalez, Anthony",anthony-gonzalez/G000588,Anthony Gonzalez,1984,Republican,current,281
"Representative Gonzalez, Charles A.",charles-gonzalez/G000544,Charles A. Gonzalez,1945,Democratic,not current,"3,035"
"Representative Gonzalez, Henry B.",henry-gonzalez/G000272,Henry B. Gonzalez,1916,Democratic,not current,"2,693"
"Representative Gonzalez, Vicente",vicente-gonzalez/G000581,Vicente Gonzalez,1967,Democratic,current,937
"Representative Gonzalez-Colon, Jenniffer",jenniffer-gonzalez-colon/G000582,Commissioner Jenniffer Gonzalez-Colon,1976,Republican,current,585
"Representative Goode, Virgil H., Jr.",virgil-goode/G000280,Virgil H. Goode Jr.,1946,History,not current,"2,309"
"Representative Gooden, Lance",lance-gooden/G000589,Lance Gooden,1982,Republican,current,251
"Representative Goodlatte, Bob",robert-goodlatte/G000289,Bob Goodlatte,1952,Republican,not current,"2,987"
"Representative Goodling, William F.",bill-goodling/G000291,William F. Goodling,1927,Republican,not current,"3,208"
"Senator Goodwin, Carte Patrick",carte-goodwin/G000561,Carte Patrick Goodwin,1974,Democratic,not current,10
"Representative Gordon, Bart",bart-gordon/G000309,Bart Gordon,1949,Democratic,not current,"4,614"
"Senator Gore, Albert, Jr.",albert-gore/G000321,Albert Gore Jr.,1948,Democratic,not current,"2,908"
"Senator Gorton, Slade",thomas-gorton/G000333,Slade Gorton,1928,Republican,not current,"2,844"
"Representative Gosar, Paul A.",paul-gosar/G000565,Paul A. Gosar,1958,Republican,current,"1,934"
"Representative Goss, Porter J.",porter-goss/G000336,Porter J. Goss,1938,Republican,not current,"1,926"
"Representative Gottheimer, Josh",josh-gottheimer/G000583,Josh Gottheimer,1975,Democratic,current,760
"Representative Gowdy, Trey",trey-gowdy/G000566,Trey Gowdy,1964,Republican,not current,568
"Representative Gradison, Willis D., Jr.",willis-gradison/G000349,Willis D. Gradison Jr.,1928,Republican,not current,"1,194"
"Senator Graham, Bob",daniel-graham/G000352,Bob Graham,1936,Democratic,not current,"3,244"
"Representative Graham, Gwen",gwen-graham/G000575,Gwen Graham,1963,Democratic,not current,201
"Senator Graham, Lindsey",lindsey-graham/G000359,Lindsey Graham,1955,Republican,current,"3,511"
"Senator Gramm, Phil",william-gramm/G000365,Phil Gramm,1942,History,not current,"2,712"
"Senator Grams, Rod",rod-grams/G000367,Rod Grams,1948,Republican,not current,"1,084"
"Representative Grandy, Fred",fred-grandy/G000371,Fred Grandy,1948,Republican,not current,962
"Representative Granger, Kay",kay-granger/G000377,Kay Granger,1943,Republican,current,"1,844"
"Representative Grant, Bill",bill-grant/G000382,Bill Grant,1943,History,not current,657
"Senator Grassley, Chuck",charles-grassley/G000386,Chuck Grassley,1933,Republican,current,"8,587"
"Representative Grasso, Ella T.",ella-grasso/G000387,Ella T. Grasso,1919,Democratic,not current,396
"Senator Gravel, Mike",maurice-gravel/G000388,Mike Gravel,1930,Democratic,not current,886
"Representative Graves, Garret",garret-graves/G000577,Garret Graves,1972,Republican,current,365
"Representative Graves, Sam",sam-graves/G000546,Sam Graves,1963,Republican,current,"1,956"
"Representative Graves, Tom",tom-graves/G000560,Tom Graves,1970,Republican,not current,737
"Representative Gray, Kenneth J.",kenneth-gray/G000400,Kenneth J. Gray,1924,Democratic,not current,"1,263"
"Representative Gray, William H., III",william-gray/G000402,William H. Gray III,1941,Democratic,not current,"2,044"
"Representative Grayson, Alan",alan-grayson/G000556,Alan Grayson,1958,Democratic,not current,"1,338"
"Representative Green, Al",al-green/G000553,Al Green,1947,Democratic,current,"3,102"
"Representative Green, Edith",edith-green/G000407,Edith Green,1910,Democratic,not current,102
"Representative Green, Gene",gene-green/G000410,Gene Green,1947,Democratic,not current,"5,433"
"Representative Green, Mark",mark-green/G000545,Mark Green,1960,Republican,not current,"1,283"
"Representative Green, Mark E.",mark-green/G000590,Mark E. Green,1964,Republican,current,192
"Representative Green, S. William",s-green/G000417,S. William Green,1929,Republican,not current,"2,334"
"Representative Green, William J.",william-green/G000420,William J. Green,1938,Democratic,not current,315
"Representative Greenwood, James C.",james-greenwood/G000439,James C. Greenwood,1951,Republican,not current,"1,670"
"Senator Gregg, Judd",judd-gregg/G000445,Judd Gregg,1947,Republican,not current,"2,651"
"Senator Griffin, Robert P.",robert-griffin/G000465,Robert P. Griffin,1923,Republican,not current,289
"Representative Griffin, Tim",tim-griffin/G000567,Tim Griffin,1968,Republican,not current,824
"Representative Griffith, H. Morgan",h-griffith/G000568,H. Morgan Griffith,1958,Republican,current,952
"Representative Griffith, Parker",parker-griffith/G000557,Parker Griffith,1942,History,not current,255
"Representative Griffiths, Martha W.",martha-griffiths/G000471,Martha W. Griffiths,1912,Democratic,not current,83
"Representative Grijalva, Raul M.",raul-grijalva/G000551,Raul M. Grijalva,1948,Democratic,current,"9,031"
"Representative Grimm, Michael G.",michael-grimm/G000569,Michael G. Grimm,1970,Republican,not current,720
"Representative Grisham, Wayne R.",wayne-grisham/G000480,Wayne R. Grisham,1923,Republican,not current,362
"Representative Gross, H. R.",harold-gross/G000495,H. R. Gross,1899,Republican,not current,55
"Representative Grotberg, John E.",john-grotberg/G000499,John E. Grotberg,1925,Republican,not current,203
"Representative Grothman, Glenn",glenn-grothman/G000576,Glenn Grothman,1955,Republican,current,"1,011"
"Representative Grover, James R., Jr.",james-grover/G000504,James R. Grover Jr.,1919,Republican,not current,139
